21/12/2014 14:52:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:52:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:52:26 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:52:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:52:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:52:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:57:57 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:57:57 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:57:57 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 14:58:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 14:58:23 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:24 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:24 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:24 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:24 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 14:58:24 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 14:58:24 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:31 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:31 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:31 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:31 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:31 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 14:58:31 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 14:58:31 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 14:58:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 14:58:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
21/12/2014 14:58:42 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
21/12/2014 14:58:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
21/12/2014 14:58:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
21/12/2014 14:58:48 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
