16/01/2015 20:49:31 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 20:49:31 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 20:49:31 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 20:49:31 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 20:49:31 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 20:49:31 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 20:53:48 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 20:53:48 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 20:53:48 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 20:53:48 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 20:53:48 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 20:53:48 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 20:56:23 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 20:56:23 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 20:56:23 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 20:56:23 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 20:56:23 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 20:56:23 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 20:56:34 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 20:56:34 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 20:56:35 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 20:56:35 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 20:56:35 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
