09/01/2015 23:00:02 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
09/01/2015 23:00:02 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
09/01/2015 23:00:02 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
09/01/2015 23:00:02 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
09/01/2015 23:00:02 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
09/01/2015 23:00:02 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
09/01/2015 23:00:02 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
09/01/2015 23:00:02 SELECT id_fort_contre FROM element WHERE id_element = :id_element : 	 3|3
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:21 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:02:43 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:04:07 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Normal|Normal
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Eau|Eau
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Plante|Plante
14/01/2015 22:04:14 SELECT nom FROM element WHERE id_element = :id_element : 	 Feu|Feu
